name,id,continent,age,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
L. Messi,0,4,31,2021,1,1,5,94,94,4,110500000
De Gea,3,2,27,2020,0,0,4,91,93,1,72000000
L. Suárez,7,4,31,2021,1,0,5,91,91,3,80000000
Sergio Ramos,8,2,32,2020,0,0,4,91,91,3,51000000
J. Oblak,9,2,25,2021,0,0,3,90,93,1,68000000
D. Godín,12,4,32,2019,3,0,3,90,90,2,44000000
David Silva,13,2,32,2020,2,1,4,90,90,4,60000000
N. Kanté,14,2,27,2023,2,0,3,89,90,2,63000000
M. ter Stegen,18,2,26,2022,0,0,3,89,92,1,58000000
T. Courtois,19,2,26,2024,0,1,4,89,90,1,53500000
Sergio Busquets,20,2,29,2023,2,0,4,89,89,3,51500000
E. Cavani,21,4,31,2020,1,0,4,89,89,3,60000000
M. Neuer,22,2,32,2021,0,0,5,89,89,1,38000000
G. Chiellini,24,2,33,2020,3,1,4,89,89,2,27000000
M. Salah,26,0,26,2023,2,1,3,88,89,4,69500000
Casemiro,27,4,26,2021,2,0,3,88,90,2,59500000
L. Insigne,29,2,27,2022,1,0,3,88,88,4,62000000
Isco,30,2,26,2022,1,0,3,88,91,4,73500000
Coutinho,32,4,26,2023,1,0,3,88,89,5,69500000
P. Aubameyang,33,0,29,2021,2,0,3,88,88,4,59000000
M. Hummels,34,2,29,2021,3,0,4,88,88,3,46000000
H. Lloris,37,2,31,2022,0,1,4,88,88,1,36000000
G. Higuaín,38,4,30,2019,1,0,4,88,88,3,57000000
G. Buffon,41,2,40,2019,0,0,4,88,88,1,4000000
S. Umtiti,42,2,24,2023,3,1,3,87,92,2,57000000
K. Koulibaly,44,0,27,2021,3,0,3,87,90,2,51000000
P. Pogba,45,2,25,2021,2,0,4,87,91,5,64000000
R. Lukaku,47,2,25,2022,1,1,3,87,89,3,62500000
Jordi Alba,49,2,29,2020,3,1,3,87,87,3,38000000
D. Mertens,50,2,31,2020,1,0,3,87,87,4,45000000
M. Hamšík,52,2,30,2020,2,0,3,87,87,3,46500000
I. Rakitić,53,2,30,2021,2,0,4,87,87,3,46500000
Piqué,54,2,31,2022,3,0,4,87,87,2,34000000
S. Mané,58,0,26,2023,2,0,3,86,87,4,52000000
V. van Dijk,59,2,26,2023,3,0,3,86,88,2,44500000
M. Verratti,63,2,25,2021,2,0,3,86,89,4,55000000
Alex Sandro,64,4,27,2020,3,1,3,86,86,3,36500000
Douglas Costa,65,4,27,2022,2,1,3,86,86,5,46500000
T. Müller,66,2,28,2021,2,0,4,86,86,3,45000000
Thiago,67,2,27,2021,2,0,3,86,86,5,45500000
M. Reus,68,2,29,2023,2,0,4,86,86,4,43500000
M. Benatia,73,0,31,2020,3,0,3,86,86,2,30000000
Fernandinho,75,4,33,2020,2,0,3,86,86,3,18000000
Iniesta,76,2,34,2021,1,0,4,86,86,4,21500000
M. Škriniar,77,2,23,2022,3,0,1,85,92,2,46500000
S. Milinković-Savić,78,2,23,2023,2,0,2,85,90,4,50500000
Marco Asensio,79,2,22,2023,1,1,3,85,92,4,54000000
Alisson,81,4,25,2024,0,0,3,85,90,1,36500000
Saúl,83,2,23,2026,2,1,3,85,90,3,50500000
Koke,86,2,26,2019,2,0,3,85,86,3,45000000
A. Lacazette,87,2,27,2022,1,0,3,85,86,4,45000000
N. Otamendi,89,4,30,2022,3,0,3,85,85,2,28500000
W. Szczęsny,92,2,28,2021,0,0,3,85,87,1,32000000
A. Sánchez,93,4,29,2022,1,0,4,85,85,4,37500000
Y. Brahimi,94,0,28,2019,2,0,3,85,85,4,39000000
A. Vidal,96,4,31,2021,2,0,4,85,85,3,26000000
I. Perišić,97,2,29,2022,2,0,3,85,85,4,37500000
S. Khedira,99,2,31,2021,2,0,3,85,85,2,33000000
Diego Costa,100,2,29,2021,1,0,4,85,85,2,38500000
Naldo,102,4,35,2020,3,0,3,85,85,2,9000000
B. Matuidi,103,2,31,2020,2,1,3,85,85,2,26000000
K. Benzema,105,2,30,2021,1,0,4,85,85,4,37000000
Filipe Luís,106,4,32,2019,3,1,3,85,85,3,21500000
V. Kompany,107,2,32,2019,3,0,4,85,85,2,22000000
Pepe,108,2,35,2019,3,0,4,85,85,2,9000000
Z. Ibrahimović,109,2,36,2022,1,0,5,85,85,5,14000000
D. Sánchez,110,4,22,2024,3,0,2,84,88,2,34000000
Alex Telles,112,4,25,2021,3,1,3,84,87,3,32000000
Bruno Fernandes,114,2,23,2023,2,0,2,84,88,4,40500000
N. Süle,115,2,22,2022,3,0,2,84,90,2,36500000
Fabinho,118,4,24,2023,2,0,3,84,88,3,34000000
Marquinhos,119,4,24,2022,2,0,3,84,89,2,35500000
Jorginho,121,2,26,2023,2,0,2,84,87,3,38000000
Carvajal,123,2,26,2022,3,0,3,84,87,3,31500000
M. Depay,124,2,24,2021,1,0,3,84,89,5,42000000
A. Lopes,126,2,27,2020,0,1,2,84,86,1,25000000
S. de Vrij,127,2,26,2023,3,0,3,84,86,2,31500000
M. Perin,128,2,25,2022,0,0,2,84,89,1,29500000
J. Cuadrado,129,4,30,2020,2,0,3,84,84,5,29500000
B. Leno,131,2,26,2023,0,0,3,84,87,1,27000000
N. Matić,132,2,29,2020,2,1,3,84,84,3,24000000
L. Hrádecký,133,2,28,2023,0,0,2,84,84,1,22000000
Illarramendi,134,2,28,2023,2,0,2,84,84,4,31000000
José Callejón,137,2,31,2020,2,0,3,84,84,3,27500000
M. Mandžukić,139,2,32,2020,1,0,3,84,84,3,25000000
Willian,140,4,29,2020,1,0,3,84,84,4,30500000
E. Banega,142,4,30,2020,2,0,3,84,84,4,29000000
A. Witsel,143,2,29,2022,2,0,3,84,84,4,24000000
Jonas,145,4,34,2020,1,0,3,84,84,3,16500000
Falcao,148,4,32,2020,1,0,3,84,84,3,25000000
K. Schmeichel,149,2,31,2023,0,0,2,84,84,1,19000000
Quaresma,153,2,34,2020,2,0,3,84,84,5,15500000
A. Robben,154,2,34,2019,2,1,4,84,84,4,15500000
O. Dembélé,155,2,21,2022,1,1,3,83,92,4,40000000
Gabriel Jesus,156,4,21,2023,1,0,2,83,92,4,41000000
Ronaldo Cabrais,157,4,26,2021,1,0,1,83,83,4,28000000
N. Keïta,161,0,23,2023,2,0,2,83,88,4,34000000
T. Lemar,163,2,22,2023,2,1,3,83,89,4,35500000
K. Coman,164,2,22,2023,2,0,2,83,87,5,34000000
J. Tah,165,2,22,2023,3,0,2,83,88,2,29500000
Anderson Talisca,166,4,24,2018,2,1,2,83,90,4,36500000
T. Werner,167,2,22,2020,1,0,3,83,87,3,34500000
L. Goretzka,169,2,23,2022,2,0,3,83,88,3,34000000
Q. Promes,170,2,26,2023,2,0,2,83,84,5,30500000
H. Ziyech,171,0,25,2021,2,1,3,83,86,4,32500000
Y. Carrasco,173,2,24,2021,2,0,3,83,86,4,33000000
